




Analysis Type:	PANTHER Overrepresentation Test (release 20170413)
Annotation Version and Release Date:	GO Ontology database  Released 2017-05-25
Analyzed List:	upload_1 (Homo sapiens)
Reference List:	Homo sapiens (all genes in database)
Bonferroni correction:	true
Bonferroni count:	8492
GO biological process complete	Homo sapiens - REFLIST (20972)	upload_1 (151)	upload_1 (expected)	upload_1 (over/under)	upload_1 (fold Enrichment)	upload_1 (P-value)
peptidyl-lysine deacetylation (GO:0034983)	7	7	.05	+	 > 100	1.16E-09
peptidyl-arginine methylation, to asymmetrical-dimethyl arginine (GO:0019919)	4	4	.03	+	 > 100	2.29E-04
histone H3-K36 methylation (GO:0010452)	7	7	.05	+	 > 100	1.16E-09
N-terminal peptidyl-lysine acetylation (GO:0018076)	3	3	.02	+	 > 100	1.38E-02
C-5 methylation of cytosine (GO:0090116)	3	3	.02	+	 > 100	1.38E-02
histone H3-K9 dimethylation (GO:0036123)	3	3	.02	+	 > 100	1.38E-02
histone H3-K36 dimethylation (GO:0097676)	3	3	.02	+	 > 100	1.38E-02
peptidyl-lysine dimethylation (GO:0018027)	12	11	.09	+	 > 100	2.73E-16
peptidyl-lysine monomethylation (GO:0018026)	8	7	.06	+	 > 100	2.93E-09
histone H3-K27 demethylation (GO:0071557)	5	4	.04	+	 > 100	5.55E-04
DNA methylation on cytosine (GO:0032776)	5	4	.04	+	 > 100	5.55E-04
histone H3-K9 demethylation (GO:0033169)	14	11	.10	+	 > 100	1.47E-15
maintenance of chromatin silencing (GO:0006344)	4	3	.03	+	 > 100	3.24E-02
histone lysine demethylation (GO:0070076)	28	21	.20	+	 > 100	8.12E-32
peptidyl-arginine omega-N-methylation (GO:0035247)	8	6	.06	+	 > 100	3.72E-07
histone H3-K4 demethylation (GO:0034720)	8	6	.06	+	 > 100	3.72E-07
histone demethylation (GO:0016577)	30	22	.22	+	 > 100	2.89E-33
histone H3 deacetylation (GO:0070932)	21	15	.15	+	99.21	1.37E-21
negative regulation of histone H3-K9 trimethylation (GO:1900113)	7	5	.05	+	99.21	2.07E-05
response to fungicide (GO:0060992)	7	5	.05	+	99.21	2.07E-05
protein demethylation (GO:0006482)	32	22	.23	+	95.49	1.18E-32
protein dealkylation (GO:0008214)	32	22	.23	+	95.49	1.18E-32
histone H4 deacetylation (GO:0070933)	9	6	.06	+	92.59	7.49E-07
histone H4-R3 methylation (GO:0043985)	6	4	.04	+	92.59	1.14E-03
negative regulation of histone H3-K9 methylation (GO:0051573)	12	8	.09	+	92.59	5.04E-10
peptidyl-arginine N-methylation (GO:0035246)	12	8	.09	+	92.59	5.04E-10
histone H3-K9 modification (GO:0061647)	14	9	.10	+	89.28	1.81E-11
histone arginine methylation (GO:0034969)	11	7	.08	+	88.38	2.68E-08
histone H3-K9 methylation (GO:0051567)	10	6	.07	+	83.33	1.40E-06
histone H3-K36 demethylation (GO:0070544)	10	6	.07	+	83.33	1.40E-06
peptidyl-arginine methylation (GO:0018216)	16	8	.12	+	69.44	4.91E-09
positive regulation of chromatin silencing (GO:0031937)	8	4	.06	+	69.44	3.58E-03
negative regulation of histone methylation (GO:0031061)	20	10	.14	+	69.44	5.86E-12
regulation of histone H3-K9 methylation (GO:0051570)	24	12	.17	+	69.44	6.93E-15
regulation of histone H3-K9 trimethylation (GO:1900112)	12	6	.09	+	69.44	4.13E-06
methylation-dependent chromatin silencing (GO:0006346)	11	5	.08	+	63.13	1.94E-04
protein deacetylation (GO:0006476)	60	27	.43	+	62.50	6.72E-36
histone H4-K20 methylation (GO:0034770)	9	4	.06	+	61.73	5.70E-03
histone methylation (GO:0016571)	86	38	.62	+	61.37	7.76E-52
histone lysine methylation (GO:0034968)	68	30	.49	+	61.27	4.94E-40
histone deacetylation (GO:0016575)	58	25	.42	+	59.87	1.58E-32
chromatin silencing at rDNA (GO:0000183)	12	5	.09	+	57.87	2.97E-04
protein deacylation (GO:0035601)	65	27	.47	+	57.69	5.67E-35
macromolecule deacylation (GO:0098732)	66	27	.48	+	56.82	8.51E-35
demethylation (GO:0070988)	59	24	.42	+	56.50	1.68E-30
nucleosome disassembly (GO:0006337)	18	7	.13	+	54.01	8.07E-07
chromatin disassembly (GO:0031498)	18	7	.13	+	54.01	8.07E-07
peptidyl-lysine methylation (GO:0018022)	80	31	.58	+	53.82	9.05E-40
histone H3-K27 methylation (GO:0070734)	11	4	.08	+	50.50	1.26E-02
protein-DNA complex disassembly (GO:0032986)	20	7	.14	+	48.61	1.67E-06
regulation of chromatin silencing (GO:0031935)	22	7	.16	+	44.19	3.21E-06
protein methylation (GO:0006479)	130	40	.94	+	42.73	1.28E-48
peptidyl-arginine modification (GO:0018195)	26	8	.19	+	42.73	2.25E-07
protein alkylation (GO:0008213)	130	40	.94	+	42.73	1.28E-48
regulation of androgen receptor signaling pathway (GO:0060765)	26	8	.19	+	42.73	2.25E-07
histone modification (GO:0016570)	346	102	2.49	+	40.94	8.43E-139
negative regulation of chromatin organization (GO:1905268)	49	14	.35	+	39.68	1.80E-14
regulation of DNA methylation (GO:0044030)	21	6	.15	+	39.68	1.13E-04
negative regulation of histone modification (GO:0031057)	40	11	.29	+	38.19	1.30E-10
ATP-dependent chromatin remodeling (GO:0043044)	63	17	.45	+	37.48	9.33E-18
negative regulation of gene expression, epigenetic (GO:0045814)	84	22	.60	+	36.38	1.45E-23
peptidyl-lysine trimethylation (GO:0018023)	27	7	.19	+	36.01	1.31E-05
covalent chromatin modification (GO:0016569)	465	120	3.35	+	35.84	2.10E-163
chromatin silencing (GO:0006342)	67	16	.48	+	33.17	1.02E-15
chromatin remodeling (GO:0006338)	149	33	1.07	+	30.76	1.00E-34
peptidyl-lysine modification (GO:0018205)	286	63	2.06	+	30.59	1.86E-71
histone H3-K4 methylation (GO:0051568)	32	7	.23	+	30.38	4.16E-05
regulation of histone methylation (GO:0031060)	64	14	.46	+	30.38	6.89E-13
histone H4 acetylation (GO:0043967)	52	11	.37	+	29.38	2.16E-09
histone acetylation (GO:0016573)	103	21	.74	+	28.32	3.94E-20
peptidyl-lysine acetylation (GO:0018394)	110	22	.79	+	27.78	4.68E-21
beta-catenin-TCF complex assembly (GO:1904837)	30	6	.22	+	27.78	9.07E-04
macromolecule methylation (GO:0043414)	226	45	1.63	+	27.65	5.02E-47
chromatin organization (GO:0006325)	648	127	4.67	+	27.22	3.09E-161
internal peptidyl-lysine acetylation (GO:0018393)	108	21	.78	+	27.01	1.04E-19
DNA methylation (GO:0006306)	47	9	.34	+	26.60	8.02E-07
DNA alkylation (GO:0006305)	47	9	.34	+	26.60	8.02E-07
internal protein amino acid acetylation (GO:0006475)	113	21	.81	+	25.81	2.60E-19
positive regulation of gene expression, epigenetic (GO:0045815)	55	10	.40	+	25.25	1.17E-07
DNA methylation or demethylation (GO:0044728)	62	11	.45	+	24.64	1.41E-08
protein acetylation (GO:0006473)	129	22	.93	+	23.69	1.39E-19
regulation of gene expression, epigenetic (GO:0040029)	208	35	1.50	+	23.37	5.09E-33
positive regulation of histone methylation (GO:0031062)	36	6	.26	+	23.15	2.61E-03
methylation (GO:0032259)	299	48	2.15	+	22.30	3.47E-46
negative regulation of chromosome organization (GO:2001251)	110	17	.79	+	21.46	9.15E-14
regulation of chromatin organization (GO:1902275)	163	24	1.17	+	20.45	3.58E-20
DNA modification (GO:0006304)	83	12	.60	+	20.08	1.41E-08
regulation of histone modification (GO:0031056)	136	19	.98	+	19.40	6.36E-15
protein acylation (GO:0043543)	159	22	1.14	+	19.22	1.16E-17
positive regulation of chromatin organization (GO:1905269)	92	12	.66	+	18.12	4.60E-08
regulation of intracellular steroid hormone receptor signaling pathway (GO:0033143)	70	9	.50	+	17.86	2.51E-05
chromosome organization (GO:0051276)	1009	127	7.26	+	17.48	5.36E-137
cellular response to UV (GO:0034644)	72	9	.52	+	17.36	3.20E-05
regulation of signal transduction by p53 class mediator (GO:1901796)	170	20	1.22	+	16.34	1.93E-14
positive regulation of histone modification (GO:0031058)	85	10	.61	+	16.34	7.57E-06
gene silencing (GO:0016458)	145	17	1.04	+	16.28	8.11E-12
chromatin assembly or disassembly (GO:0006333)	150	17	1.08	+	15.74	1.40E-11
response to cocaine (GO:0042220)	53	6	.38	+	15.72	2.41E-02
circadian regulation of gene expression (GO:0032922)	55	6	.40	+	15.15	2.97E-02
nucleosome organization (GO:0034728)	144	14	1.04	+	13.50	3.60E-08
cellular response to light stimulus (GO:0071482)	94	9	.68	+	13.30	3.09E-04
regulation of chromosome organization (GO:0033044)	300	28	2.16	+	12.96	8.08E-19
response to estradiol (GO:0032355)	130	11	.94	+	11.75	3.20E-05
peptidyl-amino acid modification (GO:0018193)	871	72	6.27	+	11.48	1.64E-53
DNA recombination (GO:0006310)	226	18	1.63	+	11.06	7.57E-10
positive regulation of chromosome organization (GO:2001252)	155	12	1.12	+	10.75	1.64E-05
regulation of DNA binding (GO:0051101)	110	8	.79	+	10.10	1.39E-02
response to UV (GO:0009411)	131	9	.94	+	9.54	4.89E-03
protein-DNA complex subunit organization (GO:0071824)	223	15	1.61	+	9.34	9.88E-07
cellular response to radiation (GO:0071478)	149	10	1.07	+	9.32	1.40E-03
DNA metabolic process (GO:0006259)	777	51	5.59	+	9.12	1.28E-30
protein deubiquitination (GO:0016579)	286	18	2.06	+	8.74	3.65E-08
negative regulation of organelle organization (GO:0010639)	322	20	2.32	+	8.63	2.75E-09
double-strand break repair (GO:0006302)	163	10	1.17	+	8.52	3.16E-03
DNA repair (GO:0006281)	489	30	3.52	+	8.52	2.32E-15
protein modification by small protein removal (GO:0070646)	302	18	2.17	+	8.28	8.82E-08
negative regulation of nucleic acid-templated transcription (GO:1903507)	1160	68	8.35	+	8.14	2.33E-40
negative regulation of RNA biosynthetic process (GO:1902679)	1162	68	8.37	+	8.13	2.59E-40
negative regulation of transcription, DNA-templated (GO:0045892)	1117	65	8.04	+	8.08	5.89E-38
regulation of muscle cell differentiation (GO:0051147)	172	10	1.24	+	8.07	5.12E-03
negative regulation of transcription from RNA polymerase II promoter (GO:0000122)	772	44	5.56	+	7.92	3.57E-23
negative regulation of RNA metabolic process (GO:0051253)	1205	68	8.68	+	7.84	2.57E-39
rhythmic process (GO:0048511)	288	16	2.07	+	7.72	3.62E-06
regulation of binding (GO:0051098)	325	18	2.34	+	7.69	2.88E-07
regulation of protein binding (GO:0043393)	185	10	1.33	+	7.51	9.81E-03
regulation of response to DNA damage stimulus (GO:2001020)	171	9	1.23	+	7.31	4.22E-02
regulation of DNA metabolic process (GO:0051052)	385	20	2.77	+	7.21	6.71E-08
negative regulation of nucleobase-containing compound metabolic process (GO:0045934)	1357	70	9.77	+	7.16	2.96E-38
negative regulation of cellular macromolecule biosynthetic process (GO:2000113)	1318	67	9.49	+	7.06	8.64E-36
cellular response to DNA damage stimulus (GO:0006974)	731	37	5.26	+	7.03	4.76E-17
negative regulation of macromolecule biosynthetic process (GO:0010558)	1389	70	10.00	+	7.00	1.33E-37
cellular response to oxygen levels (GO:0071453)	199	10	1.43	+	6.98	1.87E-02
